Date,Close,High,Low,Open,Volume
2025-02-12,23.9826717376709,24.220831977048288,23.9826717376709,24.201547434421943,200
2025-02-13,23.954710006713867,23.954710006713867,23.545887273590704,23.545887273590704,100
2025-02-14,23.691482543945312,23.786939745732845,23.691482543945312,23.777297474102518,5600
2025-02-18,23.47935676574707,23.4880353614492,23.47935676574707,23.4880353614492,100
2025-02-19,23.47935676574707,23.47935676574707,23.47935676574707,23.47935676574707,0
2025-02-20,23.47935676574707,23.47935676574707,23.47935676574707,23.47935676574707,0
2025-02-21,24.16972541809082,24.16972541809082,24.162012337416183,24.162012337416183,400
2025-02-24,24.16972541809082,24.16972541809082,24.16972541809082,24.16972541809082,0
2025-02-25,25.74041748046875,25.74041748046875,25.348951932426615,25.348951932426615,600
2025-02-26,25.60350227355957,25.60350227355957,25.435728958143994,25.435728958143994,400
2025-02-27,26.795257568359375,26.795257568359375,26.033534743119475,26.062461554901077,1200
2025-02-28,26.755725860595703,26.86275267758999,26.41921740824222,26.86275267758999,1600
2025-03-03,26.755725860595703,26.755725860595703,26.755725860595703,26.755725860595703,0
2025-03-04,26.510818481445312,27.48370028164907,26.510818481445312,27.40270741109378,1500
2025-03-05,26.510818481445312,26.510818481445312,26.510818481445312,26.510818481445312,0
2025-03-06,26.510818481445312,26.510818481445312,26.510818481445312,26.510818481445312,0
2025-03-07,26.626522064208984,26.626522064208984,26.58313276367439,26.58313276367439,400
2025-03-10,27.627365112304688,27.627365112304688,26.6400190531595,26.6400190531595,5200
2025-03-11,27.53480339050293,27.962910676542506,27.44127538110869,27.44127538110869,2000
2025-03-12,26.421146392822266,26.997740583327648,26.421146392822266,26.756689328119368,2600
2025-03-13,27.152009963989258,27.3014623862559,27.152009963989258,27.3014623862559,300
2025-03-14,26.35943603515625,26.701730212759266,26.35943603515625,26.701730212759266,6000
2025-03-17,25.389448165893555,25.389448165893555,25.20431950097878,25.20431950097878,400
2025-03-18,25.68160057067871,25.68160057067871,25.63821127182006,25.63821127182006,400
2025-03-19,25.010513305664062,25.937114759749164,25.010513305664062,25.937114759749164,400
2025-03-20,24.796459197998047,24.876488389953263,24.796459197998047,24.876488389953263,2100
2025-03-21,24.986408233642578,25.291097002470046,24.986408233642578,25.291097002470046,200
2025-03-24,23.22576904296875,24.20154548811663,23.046427960377084,24.18226094704116,3700
2025-03-25,23.054485321044922,23.44737167263155,23.054485321044922,23.224801105019704,900
2025-03-26,23.99315643310547,24.192502044549364,23.442534850316623,23.442534850316623,8300
2025-03-27,24.76441192626953,24.99182203169296,24.580548397507155,24.93763106442434,10700
2025-03-28,25.55986213684082,25.67308360651082,25.547281563379396,25.547281563379396,2400
2025-03-31,25.705984115600586,26.514981810309934,25.705984115600586,26.485951989198178,9400
2025-04-01,25.663408279418945,26.11822668294321,25.663408279418945,25.827917377841178,9500
2025-04-02,25.608247756958008,25.75050090081659,25.608247756958008,25.673084964694567,2100
2025-04-03,27.91330909729004,27.91330909729004,27.250435036638702,27.250435036638702,5000
2025-04-04,30.36933135986328,30.86963249829271,29.719037888775667,30.163211875652102,4800
2025-04-07,31.242197036743164,33.09534358192565,29.156802693094356,32.282475364422815,19300
2025-04-08,33.183406829833984,33.61790547532689,30.076121160810203,30.163214323627756,12600
2025-04-09,25.280197143554688,31.64379300639425,25.280197143554688,31.64379300639425,5800
2025-04-10,27.41881561279297,28.11168853418322,27.26398373692056,27.26398373692056,3800
2025-04-11,25.93436050415039,26.437564971235496,25.741788770796063,26.369826263308916,2700
2025-04-14,25.64211654663086,25.64211654663086,25.315034546752802,25.315034546752802,1900
